d,open,high,low,close
2025-01-28T19:00:00+07:00,102762.02,102988.6,102476.63,102599.99
2025-01-28T20:00:00+07:00,102599.99,102938.71,102482.35,102597.36
2025-01-28T21:00:00+07:00,102597.37,102891.33,101815.26,102641.99
2025-01-28T22:00:00+07:00,102642,103800,102504,102777.99
2025-01-28T23:00:00+07:00,102777.99,102907.98,101906.24,102250.01
2025-01-29T00:00:00+07:00,102250.01,103098,102220.07,102572.82
2025-01-29T01:00:00+07:00,102572.82,103108,102160,102205.79
2025-01-29T02:00:00+07:00,102205.78,102660,101820.15,102424.24
2025-01-29T03:00:00+07:00,102424.24,102538,101197.04,101264.48
2025-01-29T04:00:00+07:00,101264.02,101547.22,100272.68,100334.01
2025-01-29T05:00:00+07:00,100334,101404,100274.96,101265.63
2025-01-29T06:00:00+07:00,101265.63,101450,100750,101335.52
2025-01-29T07:00:00+07:00,101335.52,101819.67,101328.01,101702.59
2025-01-29T08:00:00+07:00,101702.6,101993.68,101461.12,101845.02
2025-01-29T09:00:00+07:00,101845.02,102319.69,101696.01,101795.4
2025-01-29T10:00:00+07:00,101795.41,102162.8,101764.24,102038.2
2025-01-29T11:00:00+07:00,102038.21,102190,101955.51,102001.06
2025-01-29T12:00:00+07:00,102001.06,102384.61,101980.27,102262
2025-01-29T13:00:00+07:00,102262,102853.53,102237.05,102801.64
2025-01-29T14:00:00+07:00,102801.64,102815.66,102449.97,102755.82
2025-01-29T15:00:00+07:00,102755.81,103000,102680,102732.03
2025-01-29T16:00:00+07:00,102732.03,102770,102303.68,102334.4
2025-01-29T17:00:00+07:00,102334.41,102726.77,102180.65,102547.01
2025-01-29T18:00:00+07:00,102547.01,102809.52,102425.87,102646
2025-01-29T19:00:00+07:00,102646,102842.04,102220.13,102229.85
2025-01-29T20:00:00+07:00,102229.85,102330.81,101699.59,101836.23
2025-01-29T21:00:00+07:00,101836.23,102380,101582.37,102029.93
2025-01-29T22:00:00+07:00,102029.94,102531.64,101798.01,101980.78
2025-01-29T23:00:00+07:00,101980.78,102150,101675.62,102092.01
2025-01-30T00:00:00+07:00,102092,102777.78,101995.37,102406.98
2025-01-30T01:00:00+07:00,102406.97,103000,102008,102854.15
2025-01-30T02:00:00+07:00,102854.14,103999,101400.01,103583.99
2025-01-30T03:00:00+07:00,103584,104782.68,102868,104193.93
2025-01-30T04:00:00+07:00,104193.92,104393.93,103715.5,103741.11
2025-01-30T05:00:00+07:00,103741.11,104010.94,103405.77,103492.06
2025-01-30T06:00:00+07:00,103492.07,104344.64,103460,103733.24
2025-01-30T07:00:00+07:00,103733.25,104123.36,103278.54,104026.04
2025-01-30T08:00:00+07:00,104026.05,104555,103925,104264.15
2025-01-30T09:00:00+07:00,104264.15,104668.35,103994.46,104663.19
2025-01-30T10:00:00+07:00,104663.19,105300,104493.16,105196
2025-01-30T11:00:00+07:00,105196,105595.81,104842.37,105478
2025-01-30T12:00:00+07:00,105478,105520,104996.97,105375.7
2025-01-30T13:00:00+07:00,105375.7,105580.16,105163.44,105184.37
