Log
"Candle 21411: time=2025-06-11 05:00:00, high=109650.59, low=109430.38, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107665.8086"
"Candle 21412: time=2025-06-11 06:00:00, high=109679.24, low=109373.67, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107665.8086"
"Candle 21413: time=2025-06-11 07:00:00, high=109745.29, low=109446.73, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21414: time=2025-06-11 08:00:00, high=109675.69, low=109446.73, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21415: time=2025-06-11 09:00:00, high=109603.57, low=109233.62, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21416: time=2025-06-11 10:00:00, high=109468.67, low=109200.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21417: time=2025-06-11 11:00:00, high=109391.75, low=109193.89, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21418: time=2025-06-11 12:00:00, high=109927.04, low=109008.82, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21419: time=2025-06-11 13:00:00, high=109900.0, low=109301.42, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21420: time=2025-06-11 14:00:00, high=110392.01, low=109650.94, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21421: time=2025-06-11 15:00:00, high=110042.9, low=109660.72, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21422: time=2025-06-11 16:00:00, high=109815.84, low=109341.79, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21423: time=2025-06-11 17:00:00, high=109768.85, low=108964.16, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"Candle 21424: time=2025-06-11 18:00:00, high=109072.91, low=108412.01, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111786.9102"
"--> TS TRIGGERED at candle 21424, profit_from_entry=1.0794287075661566"
"----> Trailing ACTIVATED by TS at candle 21424, trailingSL=111786.9102"
"Candle 21425: time=2025-06-11 19:00:00, high=108960.0, low=108576.0, trailingActive=True, BE_reached=False, TS_reached=True, trailingSL=111786.9102"
"Candle 21426: time=2025-06-11 20:00:00, high=109001.5, low=108480.0, trailingActive=True, BE_reached=False, TS_reached=True, trailingSL=111786.9102"
"Candle 21427: time=2025-06-11 21:00:00, high=109219.51, low=108367.94, trailingActive=True, BE_reached=False, TS_reached=True, trailingSL=111786.9102"
"Candle 21428: time=2025-06-11 22:00:00, high=108633.38, low=108064.0, trailingActive=True, BE_reached=False, TS_reached=True, trailingSL=111786.9102"
"--> BE TRIGGERED at candle 21428, profit_from_entry=1.3969705372534706"
"----> BE: Move SL về entry tại candle 21428, trailingSL=109595.01"
"Candle 21429: time=2025-06-11 23:00:00, high=108691.87, low=108324.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21430: time=2025-06-12 00:00:00, high=108813.55, low=108326.55, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21431: time=2025-06-12 01:00:00, high=108706.0, low=108258.49, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21432: time=2025-06-12 02:00:00, high=108759.0, low=108390.34, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21433: time=2025-06-12 03:00:00, high=108448.03, low=107730.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21434: time=2025-06-12 04:00:00, high=107917.41, low=107320.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21435: time=2025-06-12 05:00:00, high=107922.43, low=107593.67, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21436: time=2025-06-12 06:00:00, high=107993.58, low=107640.33, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21437: time=2025-06-12 07:00:00, high=107961.01, low=107438.65, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21438: time=2025-06-12 08:00:00, high=107835.83, low=107440.13, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21439: time=2025-06-12 09:00:00, high=107771.55, low=107488.95, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21440: time=2025-06-12 10:00:00, high=107518.85, low=107200.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21441: time=2025-06-12 11:00:00, high=107349.31, low=106874.47, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21442: time=2025-06-12 12:00:00, high=107431.82, low=106870.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21443: time=2025-06-12 13:00:00, high=107198.75, low=106600.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21444: time=2025-06-12 14:00:00, high=107721.17, low=107070.8, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21445: time=2025-06-12 15:00:00, high=107822.5, low=106890.88, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21446: time=2025-06-12 16:00:00, high=107858.32, low=106985.38, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
