time,open,high,low,close,Buy4,Sell4,LONG,SHORT,buy atr,Sell ATR,Volume,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Buy4,Sell4,buy atr,Sell ATR
2024-12-28T19:00:00+07:00,0.006242,0.006403,0.00616,0.006305,0,0,0,0,0,0,2190966313,NaN,-7.161945067489555,0,-20.203273928539975,-19.545689456719636,0,0,0,0
2024-12-28T23:00:00+07:00,0.006304,0.006484,0.006294,0.0064,0,0,0,0,0,0,1320498976,NaN,-6.5586890716831405,0,-15.363845461283324,-18.477017492321092,0,0,0,0
2024-12-29T03:00:00+07:00,0.0064,0.006547,0.006376,0.006475,0,0,0,0,0,0,897332256,NaN,-5.686250091626903,0,-9.06830710114036,-15.323586741501792,0,0,0,0
2024-12-29T07:00:00+07:00,0.006476,0.006495,0.006403,0.006476,0,0,0,0,0,0,880264542,NaN,-4.876128181574678,0,-2.6011254531365924,-10.47628120658475,0,0,0,0
2024-12-29T11:00:00+07:00,0.006476,0.006492,0.006383,0.006459,0,0,1,0,0,0,908242659,NaN,-4.323295302223489,0,3.044742754713913,-4.887778279566967,0,0,0,0
2024-12-29T15:00:00+07:00,0.00646,0.006473,0.00639,0.006395,0,0,0,0,0,0,798801780,NaN,-3.809950485683096,0,2.844984641539654,-0.9933294530946598,0,0,0,0
2024-12-29T19:00:00+07:00,0.006396,0.006446,0.006293,0.006326,0,0,0,1,0,0,1743630082,NaN,-4.31324177647776,0,-2.1979517938741706,-0.31641000976560285,0,0,0,0
2024-12-29T23:00:00+07:00,0.006327,0.006345,0.0062,0.006257,0,0,0,0,0,0,1352056747,NaN,-5.593757719162625,0,-9.675748228325167,-3.0098156224141546,0,0,0,0
2024-12-30T03:00:00+07:00,0.006257,0.006264,0.006119,0.006202,0,0,0,0,0,0,1334174597,NaN,-6.549112855489767,0,-17.83763973830967,-8.38335566324522,0,0,0,0
2024-12-30T07:00:00+07:00,0.006203,0.006441,0.006157,0.00635,0,0,0,0,0,0,1756948835,NaN,-7.028644605024436,0,-17.976927427715374,-12.78755731486665,0,0,0,0
2024-12-30T11:00:00+07:00,0.006349,0.006458,0.006267,0.006412,0,0,0,0,0,0,1639069491,NaN,-7.366508442146898,0,-13.89587001002588,-14.429961815096295,0,0,0,0
2024-12-30T15:00:00+07:00,0.006412,0.006508,0.006276,0.006376,0,0,0,0,0,0,1522018092,NaN,-7.3629295643000106,0,-10.970507166066056,-13.981188390568295,0,0,0,0
2024-12-30T19:00:00+07:00,0.006375,0.006486,0.006159,0.006237,0,0,0,0,0,0,3041769070,NaN,-8.32028920705011,0,-13.396377785068037,-13.756201480894829,0,0,0,0
2024-12-30T23:00:00+07:00,0.006236,0.006451,0.006079,0.006439,0,0,0,0,0,0,2867129051,NaN,-9.23620382886273,0,-7.308792648291962,-11.253977555179818,0,0,0,0
2024-12-31T03:00:00+07:00,0.00644,0.006489,0.006161,0.00629,0,0,0,0,0,0,1951812419,NaN,-10.354371094625606,0,-6.049297613574689,-9.033845090560225,0,0,0,0
2024-12-31T07:00:00+07:00,0.006291,0.006291,0.006081,0.006106,0,0,0,0,0,0,1639380833,NaN,-10.838494632800394,0,-10.012596391772123,-8.929987539615826,0,0,0,0
2024-12-31T11:00:00+07:00,0.006105,0.006216,0.006004,0.006139,0,0,0,0,0,0,2644540795,NaN,-10.785944040847662,0,-12.40054223312691,-9.880996843673271,0,0,0,0
2024-12-31T15:00:00+07:00,0.006139,0.006414,0.006133,0.006393,0,0,0,0,0,0,2493824492,NaN,-11.433799941521205,0,-7.679788680631211,-9.16308595909476,0,0,0,0
2024-12-31T19:00:00+07:00,0.006393,0.006641,0.006303,0.006515,0,0,0,0,0,0,3255247907,NaN,-10.83479354313191,0,-0.06934533954236397,-6.289466567782422,0,0,0,0
2024-12-31T23:00:00+07:00,0.006516,0.006627,0.006367,0.006461,0,0,1,0,0,0,2369634951,NaN,-10.278573316056134,0,4.574408454284252,-2.3505590657778517,0,0,0,0
2025-01-01T03:00:00+07:00,0.00646,0.006507,0.006371,0.006397,0,0,0,0,0,0,1003789135,NaN,-9.762083105200055,0,5.645806009757633,1.2372338835272503,0,0,0,0
2025-01-01T07:00:00+07:00,0.006397,0.006535,0.00638,0.006412,0,0,0,0,0,0,1282440786,NaN,-9.134342870556738,0,6.237460909712392,3.978351639381954,0,0,0,0
2025-01-01T11:00:00+07:00,0.006412,0.006418,0.006279,0.006338,0,0,0,0,0,0,1112826054,NaN,-9.380366356892129,0,4.0478897327408845,4.747078793390202,0,0,0,0
2025-01-01T15:00:00+07:00,0.006338,0.006361,0.006173,0.006286,0,0,0,1,0,0,1677930652,NaN,-10.376815934708874,0,-0.0665944666117514,3.3624659867227655,0,0,0,0
2025-01-01T19:00:00+07:00,0.006286,0.006438,0.006269,0.006409,0,0,1,0,0,0,2052645485,NaN,-10.81317327496957,0,0.9424051955349658,2.314003009242193,0,0,0,0
2025-01-01T23:00:00+07:00,0.006411,0.006477,0.006294,0.006452,0,0,0,0,0,0,1692352830,NaN,-10.979320219505825,0,4.492554647969899,2.691056733156551,0,0,0,0
2025-01-02T03:00:00+07:00,0.006453,0.00654,0.006438,0.006483,0,0,0,0,0,0,1089284645,NaN,-10.756933074927142,0,8.960324113055695,4.634250369552023,0,0,0,0
2025-01-02T07:00:00+07:00,0.006483,0.006596,0.006434,0.006528,0,0,0,0,0,0,1662077492,NaN,-10.229797394805212,0,14.69235184160645,8.306595701908194,0,0,0,0
2025-01-02T11:00:00+07:00,0.006529,0.006662,0.006521,0.00661,0,0,0,0,0,0,1556315823,NaN,-9.380163572162209,0,21.950494757108796,13.688691198840775,0,0,0,0
2025-01-02T15:00:00+07:00,0.00661,0.006729,0.006575,0.006681,0,0,0,0,0,0,1747680004,NaN,-8.247023136398692,0,29.84710841772523,20.235185301064128,0,0,0,0
2025-01-02T19:00:00+07:00,0.006681,0.006761,0.006588,0.006642,0,0,0,0,0,0,2201135083,NaN,-7.034824564865104,0,32.172491620584836,25.629826922761335,0,0,0,0
2025-01-02T23:00:00+07:00,0.006642,0.006727,0.006595,0.006638,0,0,0,0,0,0,1328827508,NaN,-5.909211605583913,0,31.64017532592647,29.00170064806476,0,0,0,0
2025-01-03T03:00:00+07:00,0.006639,0.006769,0.006555,0.006709,0,0,0,0,0,0,1387572384,NaN,-4.639584099841592,0,32.701752281097264,31.215443277567065,0,0,0,0
2025-01-03T07:00:00+07:00,0.006709,0.006728,0.006582,0.006662,0,0,0,0,0,0,1122676247,NaN,-3.4606442730808666,0,30.913878958134294,31.63260143678232,0,0,0,0
2025-01-03T11:00:00+07:00,0.006662,0.006676,0.00652,0.00654,0,0,0,0,0,0,1186942496,NaN,-3.0997715006661295,0,23.123397431693068,28.85537347378214,0,0,0,0
2025-01-03T15:00:00+07:00,0.006539,0.006842,0.006535,0.006815,0,0,0,0,0,0,1812381471,NaN,-1.8316961098484725,0,22.220435946525214,26.22540574812815,0,0,0,0
2025-01-03T19:00:00+07:00,0.006815,0.00695,0.006751,0.006914,0,0,0,0,0,0,2310441792,NaN,-0.1763869256816406,0,25.100640659563048,25.218976638424078,0,0,0,0
2025-01-03T23:00:00+07:00,0.006916,0.0071,0.006897,0.007003,1,0,0,0,0,0,3064336154,1.9057655151417379,NaN,0,30.401362292987805,26.415423717619152,1,0,0,0
2025-01-04T03:00:00+07:00,0.007003,0.007046,0.006939,0.00703,0,0,0,0,0,0,1134165980,3.839192781620593,NaN,0,35.937874245933536,29.610734113670105,0,0,0,0
2025-01-04T07:00:00+07:00,0.00703,0.007085,0.006934,0.007009,0,0,0,0,0,0,1408237614,5.769707508846988,NaN,0,39.37274284481392,33.61606769016124,0,0,0,0
2025-01-04T11:00:00+07:00,0.00701,0.0071,0.006921,0.007039,0,0,0,0,0,0,1237582669,7.615122130435061,NaN,0,43.41132178295835,37.88430455182577,0,0,0,0
2025-01-04T15:00:00+07:00,0.007038,0.007045,0.006867,0.00693,0,0,0,0,0,0,1471369739,8.646716097529975,NaN,0,40.9616486183577,39.923257969527896,0,0,0,0
2025-01-04T19:00:00+07:00,0.00693,0.007029,0.006769,0.00681,0,0,0,0,0,0,2089892083,8.48623538798929,NaN,0,31.079679354515456,37.61082110202963,0,0,0,0
2025-01-04T23:00:00+07:00,0.006809,0.006933,0.006809,0.006916,0,0,0,0,0,0,930140965,8.337217586272935,NaN,0,24.708686096204236,33.129498677659114,0,0,0,0
2025-01-05T03:00:00+07:00,0.006917,0.006987,0.006913,0.00696,0,0,0,0,0,0,799922768,8.511005418496175,NaN,0,21.056765166460508,28.17948182002264,0,0,0,0
2025-01-05T07:00:00+07:00,0.00696,0.006988,0.006855,0.006929,0,0,0,0,0,0,1103768278,8.00679992503487,NaN,0,17.082655608002074,23.12582695479025,0,0,0,0
