time,open,high,low,close,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Buy4,Sell4,RSI,RSI Fast MA,RSI Slow MA,Histogram,MACD,Signal
2024-06-02T14:00:00+07:00,0.0148728,0.0148728,0.0146206,0.0146702,7.191271859368484,NaN,0,-22.243005939307007,-29.633678980496814,0,0,40.1129969331302,39.34065555410012,40.684130130576754,0.00000749850955635451,-0.00011467642366897596,-0.00012217493322533047
2024-06-02T14:30:00+07:00,0.0146701,0.0146915,0.0145801,0.0146242,6.813335922994547,NaN,0,-20.815297547230546,-25.66060944666805,0,0,38.52186250289597,39.17689694385929,40.45722227381483,0.0000035815173906099884,-0.00011769803648706799,-0.00012127955387767798
2024-06-02T15:00:00+07:00,0.0146243,0.014763,0.0146178,0.0147051,5.794894627845082,NaN,0,-17.26996157059056,-21.629228629115293,0,0,42.81780039151283,39.90507763339,40.433507233790635,0.000007207205071399248,-0.00011227054753842891,-0.00011947775260982816
2024-06-02T15:30:00+07:00,0.0147052,0.0147398,0.014606,0.0146638,4.925278435328874,NaN,0,-15.829464018750624,-18.740859150648564,0,0,41.233724199123344,40.17080694653667,40.353546210781474,0.000007555488617871727,-0.0001100333918374885,-0.00011758888045536023
2024-06-02T16:00:00+07:00,0.0146638,0.0147009,0.0143495,0.0144459,5.4675352941297675,NaN,0,-19.301442625869978,-18.36723699665948,0,0,34.07167827009927,38.95098121124919,39.9741104000882,-0.000005456118769274089,-0.00012440902891695284,-0.00011895291014767875
2024-06-02T16:30:00+07:00,0.014446,0.0145909,0.0144009,0.014577,5.971059520159166,NaN,0,-17.88889633141275,-17.966257660347146,0,0,40.7408251828956,39.308950005578474,39.89899466531694,-0.000003874556738917809,-0.000123796106071326,-0.0001199215493324082
2024-06-02T17:00:00+07:00,0.0145787,0.0146252,0.0144621,0.0145793,6.09718356417477,NaN,0,-15.42944265453073,-17.035734405600422,0,0,40.85386578345238,39.61793316115325,39.834100599715505,-0.0000014400711305454774,-0.00012172163824559004,-0.00012028156711504456
2024-06-02T17:30:00+07:00,0.0145793,0.01465,0.0145252,0.0146075,5.964444762859479,NaN,0,-11.220957512782674,-15.061439763117674,0,0,42.30700719875561,40.15574796867372,39.83733338655972,0.000003057550400541612,-0.00011645962911436755,-0.00011951717951490916
2024-06-02T18:00:00+07:00,0.0146075,0.0146853,0.0145337,0.0146136,5.482763096604415,NaN,0,-7.1546507627729525,-12.13497647448554,0,0,42.63532276976682,40.65166292889234,39.86253848296351,0.000007195193659564691,-0.00011052318744045331,-0.000117718381100018
2024-06-02T18:30:00+07:00,0.0146137,0.0148752,0.0146052,0.0148124,3.406120025292413,NaN,0,1.5427040415556093,-6.887715801475733,0,0,52.185276899550935,42.95838572302406,40.307886785807554,0.000023171571930703073,-0.00008875391618663915,-0.00011192548811734222
