Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
38,Entry short,SHORT,5/10/2024 22:30,0.0083746,178786431.1,-36025.46,-2.41%,31216.11,2.08%,-49094.75,-3.28%,461167.88,-2.41%
39,Exit short,Close entry(s) order SHORT,5/13/2024 8:30,0.0087851,168333433,-17658.18,-1.21%,4393.5,0.30%,-26394.68,-1.81%,443509.7,-1.21%
39,Entry short,SHORT,5/13/2024 4:30,0.0086802,168333433,-17658.18,-1.21%,4393.5,0.30%,-26394.68,-1.81%,443509.7,-1.21%
40,Exit long,Close entry(s) order LONG,5/14/2024 6:30,0.0098999,163705919.7,177146.17,12.27%,407987.9,28.26%,-19251.82,-1.33%,620655.9,12.27%
40,Entry long,LONG,5/13/2024 15:30,0.0088178,163705919.7,177146.17,12.27%,407987.9,28.26%,-19251.82,-1.33%,620655.9,12.27%
41,Exit long,Close entry(s) order LONG,5/24/2024 10:30,0.0145296,113623390.2,30121.56,1.86%,176741.19,10.90%,-13793.88,-0.85%,650777.44,1.86%
41,Entry long,LONG,5/24/2024 4:00,0.0142645,113623390.2,30121.56,1.86%,176741.19,10.90%,-13793.88,-0.85%,650777.44,1.86%
42,Exit short,Close entry(s) order SHORT,6/6/2024 1:00,0.0145368,115012709.9,-21150.84,-1.28%,32077.05,1.94%,-23485.6,-1.42%,629626.56,-1.28%
42,Entry short,SHORT,6/5/2024 17:30,0.0143529,115012709.9,-21150.84,-1.28%,32077.05,1.94%,-23485.6,-1.42%,629626.56,-1.28%
43,Exit long,SHORT,6/8/2024 0:30,0.0138154,115144358.2,-38849.71,-2.38%,16546.24,1.02%,-56201.96,-3.45%,590776.9,-2.38%
43,Entry long,LONG,6/7/2024 21:30,0.0141528,115144358.2,-38849.71,-2.38%,16546.24,1.02%,-56201.96,-3.45%,590776.9,-2.38%
44,Exit short,Close entry(s) order SHORT,6/8/2024 8:30,0.0130286,115145191.7,90596.23,5.70%,310362.34,19.51%,-3062.86,-0.19%,681373.1,5.70%
44,Entry short,SHORT,6/8/2024 0:30,0.0138154,115145191.7,90596.23,5.70%,310362.34,19.51%,-3062.86,-0.19%,681373.1,5.70%
45,Exit long,Close entry(s) order LONG,6/11/2024 20:30,0.0122073,142817242.8,62039.81,3.69%,118095.58,7.02%,-19366.02,-1.15%,743412.94,3.69%
45,Entry long,LONG,6/11/2024 13:30,0.0117729,142817242.8,62039.81,3.69%,118095.58,7.02%,-19366.02,-1.15%,743412.94,3.69%
46,Exit long,Close entry(s) order LONG,6/16/2024 0:30,0.0119531,149070809.2,38400.64,2.20%,89531.93,5.14%,-59687.95,-3.42%,781813.56,2.20%
46,Entry long,LONG,6/15/2024 5:00,0.0116955,149070809.2,38400.64,2.20%,89531.93,5.14%,-59687.95,-3.42%,781813.56,2.20%
47,Exit long,SHORT,6/18/2024 4:30,0.011303,151855659.7,-65343.49,-3.67%,2930.81,0.16%,-92343.43,-5.18%,716470.06,-3.67%
47,Entry long,LONG,6/18/2024 2:00,0.0117333,151855659.7,-65343.49,-3.67%,2930.81,0.16%,-92343.43,-5.18%,716470.06,-3.67%
48,Exit short,Close entry(s) order SHORT,6/18/2024 16:30,0.0106744,151859690.3,95459,5.56%,272967.78,15.90%,-26742.49,-1.56%,811929.06,5.56%
48,Entry short,SHORT,6/18/2024 4:30,0.011303,151859690.3,95459,5.56%,272967.78,15.90%,-26742.49,-1.56%,811929.06,5.56%
49,Exit short,Close entry(s) order SHORT,6/21/2024 13:00,0.0111202,157778568.4,57257.84,3.16%,113742.57,6.28%,-15083.63,-0.83%,869186.94,3.16%
49,Entry short,SHORT,6/20/2024 20:30,0.0114831,157778568.4,57257.84,3.16%,113742.57,6.28%,-15083.63,-0.83%,869186.94,3.16%
50,Exit long,Close entry(s) order LONG,6/26/2024 11:30,0.0128137,142497840.4,-43248.09,-2.31%,21659.67,1.16%,-56158.4,-3.00%,825938.8,-2.31%
50,Entry long,LONG,6/26/2024 9:00,0.0131172,142497840.4,-43248.09,-2.31%,21659.67,1.16%,-56158.4,-3.00%,825938.8,-2.31%
51,Exit long,Close entry(s) order LONG,7/1/2024 13:30,0.0118217,161206602.7,79797.27,4.37%,139008.45,7.61%,-32112.35,-1.76%,905736.1,4.37%
51,Entry long,LONG,6/30/2024 15:30,0.0113267,161206602.7,79797.27,4.37%,139008.45,7.61%,-32112.35,-1.76%,905736.1,4.37%
52,Exit short,Close entry(s) order SHORT,7/4/2024 18:00,0.0096945,193977922.1,24887.37,1.31%,118054.96,6.20%,-3860.16,-0.20%,930623.44,1.31%
52,Entry short,SHORT,7/4/2024 8:30,0.0098228,193977922.1,24887.37,1.31%,118054.96,6.20%,-3860.16,-0.20%,930623.44,1.31%
53,Exit long,Close entry(s) order LONG,7/9/2024 15:00,0.0092504,232154911.9,216902.33,11.23%,293374.16,15.20%,-28067.53,-1.45%,1147525.8,11.23%
53,Entry long,LONG,7/8/2024 12:30,0.0083161,232154911.9,216902.33,11.23%,293374.16,15.20%,-28067.53,-1.45%,1147525.8,11.23%
54,Exit short,Close entry(s) order SHORT,7/12/2024 21:00,0.0087414,233607000.7,105310.04,4.90%,215268.84,10.02%,-8409.85,-0.39%,1252835.9,4.90%
54,Entry short,SHORT,7/11/2024 23:30,0.0091922,233607000.7,105310.04,4.90%,215268.84,10.02%,-8409.85,-0.39%,1252835.9,4.90%
55,Exit long,Close entry(s) order LONG,7/15/2024 16:30,0.0095105,250827896.3,132035.8,5.86%,221079.7,9.81%,-1780.88,-0.08%,1384871.6,5.86%
55,Entry long,LONG,7/15/2024 4:30,0.0089841,250827896.3,132035.8,5.86%,221079.7,9.81%,-1780.88,-0.08%,1384871.6,5.86%
56,Exit long,Close entry(s) order LONG,7/17/2024 14:30,0.0123886,197178308.2,57852.12,2.43%,160049.62,6.71%,-103203.12,-4.33%,1442723.8,2.43%
56,Entry long,LONG,7/16/2024 18:00,0.0120952,197178308.2,57852.12,2.43%,160049.62,6.71%,-103203.12,-4.33%,1442723.8,2.43%
57,Exit short,Close entry(s) order SHORT,7/20/2024 13:30,0.0122814,202075061.1,-39020.69,-1.60%,21662.45,0.89%,-49447.77,-2.02%,1403703,-1.60%
57,Entry short,SHORT,7/20/2024 8:00,0.0120883,202075061.1,-39020.69,-1.60%,21662.45,0.89%,-49447.77,-2.02%,1403703,-1.60%
58,Exit long,Close entry(s) order LONG,7/21/2024 23:30,0.0121104,196923151.1,-18884.93,-0.79%,15990.16,0.67%,-24083.7,-1.00%,1384818.1,-0.79%
58,Entry long,LONG,7/21/2024 22:00,0.0122063,196923151.1,-18884.93,-0.79%,15990.16,0.67%,-24083.7,-1.00%,1384818.1,-0.79%
59,Exit short,Close entry(s) order SHORT,7/26/2024 8:00,0.0115921,206805425.8,-12449.69,-0.52%,146314.84,6.14%,-73229.8,-3.07%,1372368.5,-0.52%
59,Entry short,SHORT,7/25/2024 19:30,0.0115319,206805425.8,-12449.69,-0.52%,146314.84,6.14%,-73229.8,-3.07%,1372368.5,-0.52%
60,Exit short,Close entry(s) order SHORT,7/28/2024 5:00,0.012132,197061845.7,-18385.87,-0.78%,90530.21,3.82%,-25460.39,-1.07%,1353982.6,-0.78%
60,Entry short,SHORT,7/27/2024 23:30,0.0120387,197061845.7,-18385.87,-0.78%,90530.21,3.82%,-25460.39,-1.07%,1353982.6,-0.78%
61,Exit short,Close entry(s) order SHORT,7/30/2024 12:00,0.0118599,196121087.1,27986.48,1.19%,69132.68,2.94%,-14473.74,-0.61%,1381969,1.19%
61,Entry short,SHORT,7/29/2024 21:30,0.0120026,196121087.1,27986.48,1.19%,69132.68,2.94%,-14473.74,-0.61%,1381969,1.19%
62,Exit long,Close entry(s) order LONG,8/2/2024 9:00,0.0103721,228835254.8,-8123.65,-0.34%,51785.42,2.17%,-12746.12,-0.54%,1373845.4,-0.34%
62,Entry long,LONG,8/2/2024 4:30,0.0104076,228835254.8,-8123.65,-0.34%,51785.42,2.17%,-12746.12,-0.54%,1373845.4,-0.34%
63,Exit long,Close entry(s) order LONG,8/6/2024 3:30,0.0071708,331672357.9,4477.58,0.19%,150313.9,6.33%,-63880.1,-2.69%,1378323,0.19%
63,Entry long,LONG,8/5/2024 23:00,0.0071573,331672357.9,4477.58,0.19%,150313.9,6.33%,-63880.1,-2.69%,1378323,0.19%
64,Exit long,Close entry(s) order LONG,8/9/2024 12:30,0.0085912,300141718.5,200284.56,8.42%,319981.1,13.45%,-63840.14,-2.68%,1578607.5,8.42%
64,Entry long,LONG,8/8/2024 9:30,0.0079239,300141718.5,200284.56,8.42%,319981.1,13.45%,-63840.14,-2.68%,1578607.5,8.42%
65,Exit short,Close entry(s) order SHORT,8/18/2024 10:00,0.0075457,344701370.9,-22198.77,-0.86%,22095.36,0.86%,-26369.65,-1.02%,1556408.8,-0.86%
65,Entry short,SHORT,8/18/2024 7:00,0.0074813,344701370.9,-22198.77,-0.86%,22095.36,0.86%,-26369.65,-1.02%,1556408.8,-0.86%
