Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
448,Exit long,Close entry(s) order LONG,2025-07-03 09:00,"108,935.1",8.843748,-466.95,-0.05%,765.87,0.08%,-2014.61,-0.21%,-36605.37,-0.05%
448,Entry long,LONG,2025-07-03 07:50,"108,987.9",8.843748,-466.95,-0.05%,765.87,0.08%,-2014.61,-0.21%,-36605.37,-0.05%
449,Exit long,SHORT,2025-07-03 14:20,"109,113.1",8.823038,-685.55,-0.07%,2871.9,0.30%,-792.31,-0.08%,-37290.92,-0.07%
449,Entry long,LONG,2025-07-03 12:35,"109,190.8",8.823038,-685.55,-0.07%,2871.9,0.30%,-792.31,-0.08%,-37290.92,-0.07%
450,Exit short,Close entry(s) order SHORT,2025-07-03 14:50,"109,247.4",8.823038,-1184.93,-0.12%,182.64,0.02%,-2388.4,-0.25%,-38475.86,-0.12%
450,Entry short,SHORT,2025-07-03 14:20,"109,113.1",8.823038,-1184.93,-0.12%,182.64,0.02%,-2388.4,-0.25%,-38475.86,-0.12%
451,Exit long,Close entry(s) order LONG,2025-07-03 18:30,"109,588.0",8.755878,-1984.96,-0.21%,79.68,0.01%,-1984.96,-0.21%,-40460.81,-0.21%
451,Entry long,LONG,2025-07-03 17:55,"109,814.7",8.755878,-1984.96,-0.21%,79.68,0.01%,-1984.96,-0.21%,-40460.81,-0.21%
452,Exit short,Close entry(s) order SHORT,2025-07-03 23:45,"109,322.7",8.737938,4283.34,0.45%,7400.16,0.77%,-86.51,-0.01%,-36177.48,0.45%
452,Entry short,SHORT,2025-07-03 21:45,"109,812.9",8.737938,4283.34,0.45%,7400.16,0.77%,-86.51,-0.01%,-36177.48,0.45%
453,Exit long,Close entry(s) order LONG,2025-07-04 10:55,"109,197.4",8.817339,-992.83,-0.10%,119.92,0.01%,-1070.42,-0.11%,-37170.31,-0.10%
453,Entry long,LONG,2025-07-04 10:30,"109,310.0",8.817339,-992.83,-0.10%,119.92,0.01%,-1070.42,-0.11%,-37170.31,-0.10%
454,Exit short,Close entry(s) order SHORT,2025-07-05 00:55,"107,816.1",8.953665,-2520.46,-0.26%,2179.32,0.23%,-2990.52,-0.31%,-39690.77,-0.26%
454,Entry short,SHORT,2025-07-04 23:00,"107,534.6",8.953665,-2520.46,-0.26%,2179.32,0.23%,-2990.52,-0.31%,-39690.77,-0.26%
455,Exit short,LONG,2025-07-05 07:20,"108,009.0",8.89381,-303.28,-0.03%,816.45,0.09%,-450.92,-0.05%,-39994.04,-0.03%
455,Entry short,SHORT,2025-07-05 06:55,"107,974.9",8.89381,-303.28,-0.03%,816.45,0.09%,-450.92,-0.05%,-39994.04,-0.03%
456,Exit long,Close entry(s) order LONG,2025-07-05 08:25,"107,904.1",8.888186,-932.37,-0.10%,1506.55,0.16%,-1581.21,-0.16%,-40926.41,-0.10%
456,Entry long,LONG,2025-07-05 07:20,"108,009.0",8.888186,-932.37,-0.10%,1506.55,0.16%,-1581.21,-0.16%,-40926.41,-0.10%
