time,open,high,low,close,Buy4,Sell4,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Mua4 khung lớn,SELL4 khung lớn
2024-05-13T20:00:00+07:00,62818,63033,62748.5,62799,0,0,4.398070292977685,NaN,0,33.16853537750786,32.913364548424916,0,0
2024-05-13T20:30:00+07:00,62799,62887,62573.1,62762.9,0,0,3.5198823184338757,NaN,0,32.77431229199652,32.81644666775293,1,0
2024-05-13T21:00:00+07:00,62763,63098.4,62732.5,63014.3,1,0,3.248463954876808,NaN,0,35.424028795381496,33.72749806859342,0,0
2024-05-13T21:30:00+07:00,63014.3,63014.4,62695.2,62730,0,0,2.843569132568607,NaN,0,32.063867727595074,33.32260471840308,0,0
2024-05-13T22:00:00+07:00,62730.1,63020,62684.3,62961,0,0,2.42056803018162,NaN,0,31.34937053607531,32.66610466256015,0,0
2024-05-13T22:30:00+07:00,62960.9,63183,62868,62980.5,0,0,2.471777367143357,NaN,0,30.802157107834223,31.94814938326781,1,0
2024-05-13T23:00:00+07:00,62981.2,63440,62882.6,63182.7,1,0,3.1305755715779355,NaN,0,32.883459292543264,32.08172005019005,0,0
2024-05-13T23:30:00+07:00,63182.7,63411.2,63013.9,63144,0,0,3.7423167614100485,NaN,0,33.39054736588516,32.377043608189815,0,0
2024-05-14T00:00:00+07:00,63144.1,63162.7,62608,62657.3,0,0,2.5619995097525177,NaN,0,26.403102802970288,30.478784407184374,0,0
2024-05-14T00:30:00+07:00,62657.3,62900.4,62584,62784,0,0,1.3756269103650247,NaN,0,22.18989116880706,27.553505656432847,0,0
2024-05-14T01:00:00+07:00,62784.1,62810.7,62540.2,62639.9,0,0,0.10220425733694682,NaN,0,16.267024424988936,23.264569948893158,0,0
2024-05-14T01:30:00+07:00,62640,62800,62621,62770.2,0,0,NaN,-1.0802596347605515,0,12.720620378308126,18.76250840464955,0,0
2024-05-14T02:00:00+07:00,62770.2,63050,62770.2,62950.5,0,0,NaN,-1.3585539618231586,0,13.366522548385296,15.819936844714013,0,0
2024-05-14T02:30:00+07:00,62950.5,63162,62944.3,63140.5,0,0,NaN,-1.2908623364756693,0,17.384846035081328,15.55174143484381,0,0
2024-05-14T03:00:00+07:00,63139.6,63162.1,63000,63050,0,0,NaN,-1.2277101783666708,0,18.814746228165152,16.361396540527476,0,0
2024-05-14T03:30:00+07:00,63050,63127.5,62965.8,63073.4,0,0,NaN,-1.3454108893900845,0,21.00292444204033,18.125454046878996,0,0
2024-05-14T04:00:00+07:00,63073.3,63100,62935.9,62977,0,0,NaN,-1.6144636974982554,0,20.49749098368333,19.40530706597476,0,0
2024-05-14T04:30:00+07:00,62976.9,62990,62814.6,62881.6,0,0,NaN,-2.4987281356766715,0,18.17377469373846,19.392129948063882,0,0
2024-05-14T05:00:00+07:00,62881.5,62929.6,62700.2,62720.1,0,0,NaN,-3.874706907593332,0,10.792975931260528,16.598203099636816,0,0
2024-05-14T05:30:00+07:00,62720.1,62839.2,62683.5,62742.7,0,0,NaN,-5.232645243658755,0,3.9146304200291975,11.950952421054032,0,0
2024-05-14T06:00:00+07:00,62742.6,62893.9,62688.3,62862.7,0,0,NaN,-6.235129556702983,0,2.7550647111378015,7.910520893383176,0,0
