Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
688,Entry long,LONG,2025-04-24 00:30,"93,719.5",5.087295,-2071.55,-0.43%,2332.52,0.49%,-4163.95,-0.87%,-525291.7,-0.43%
689,Exit long,Close entry(s) order LONG,2025-04-25 10:00,"92,941.8",5.129685,2057.52,0.43%,9586.36,2.02%,-366.26,-0.08%,-523234.2,0.43%
689,Entry long,LONG,2025-04-24 19:30,"92,540.7",5.129685,2057.52,0.43%,9586.36,2.02%,-366.26,-0.08%,-523234.2,0.43%
690,Exit long,Close entry(s) order LONG,2025-04-26 07:00,"94,591.8",4.999552,-3849.15,-0.81%,0,0.00%,-5258.03,-1.10%,-527083.3,-0.81%
690,Entry long,LONG,2025-04-26 00:30,"95,361.7",4.999552,-3849.15,-0.81%,0,0.00%,-5258.03,-1.10%,-527083.3,-0.81%
691,Exit short,Close entry(s) order SHORT,2025-04-29 03:00,"94,741.0",5.04713,-5253.56,-1.11%,1680.19,0.36%,-5925.84,-1.25%,-532336.9,-1.11%
691,Entry short,SHORT,2025-04-28 22:30,"93,700.1",5.04713,-5253.56,-1.11%,1680.19,0.36%,-5925.84,-1.25%,-532336.9,-1.11%
692,Exit long,SHORT,2025-05-02 06:00,"96,328.9",4.939929,8195.34,1.75%,13427.22,2.87%,-3556.25,-0.76%,-524141.56,1.75%
692,Entry long,LONG,2025-05-01 03:30,"94,669.9",4.939929,8195.34,1.75%,13427.22,2.87%,-3556.25,-0.76%,-524141.56,1.75%
693,Exit short,LONG,2025-05-02 08:00,"96,973.9",4.939934,-3186.26,-0.67%,1020.1,0.21%,-3314.7,-0.70%,-527327.8,-0.67%
693,Entry short,SHORT,2025-05-02 06:00,"96,328.9",4.939934,-3186.26,-0.67%,1020.1,0.21%,-3314.7,-0.70%,-527327.8,-0.67%
694,Exit long,SHORT,2025-05-02 13:00,"96,650.0",4.87422,-1578.76,-0.33%,1404.26,0.30%,-1969.18,-0.42%,-528906.56,-0.33%
694,Entry long,LONG,2025-05-02 08:00,"96,973.9",4.87422,-1578.76,-0.33%,1404.26,0.30%,-1969.18,-0.42%,-528906.56,-0.33%
695,Exit short,Close entry(s) order SHORT,2025-05-02 18:00,"96,844.8",4.87422,-949.5,-0.20%,1788.35,0.38%,-1145.93,-0.24%,-529856.06,-0.20%
695,Entry short,SHORT,2025-05-02 13:00,"96,650.0",4.87422,-949.5,-0.20%,1788.35,0.38%,-1145.93,-0.24%,-529856.06,-0.20%
696,Exit short,Close entry(s) order SHORT,2025-05-03 21:30,"96,312.7",4.85401,2641.07,0.56%,5106.42,1.09%,-1099.92,-0.23%,-527215,0.56%
696,Entry short,SHORT,2025-05-03 03:00,"96,856.8",4.85401,2641.07,0.56%,5106.42,1.09%,-1099.92,-0.23%,-527215,0.56%
697,Exit short,LONG,2025-05-05 03:30,"95,680.0",4.941309,0.49,0.00%,2508.7,0.53%,-2122.29,-0.45%,-527214.5,0.00%
